127.0.0.1, 2018-10-26 19:07:04, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.008427
127.0.0.1, 2018-10-26 19:07:04, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.025613
127.0.0.1, 2018-10-26 19:07:04, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.026354
127.0.0.1, 2018-10-26 19:07:04, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.028483
127.0.0.1, 2018-10-26 19:07:04, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.028632
127.0.0.1, 2018-10-26 19:07:04, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.007099
127.0.0.1, 2018-10-26 19:07:05, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.012853
127.0.0.1, 2018-10-26 19:07:05, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.029738
127.0.0.1, 2018-10-26 19:07:05, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.030910
127.0.0.1, 2018-10-26 19:07:05, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.033058
127.0.0.1, 2018-10-26 19:07:05, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.033215
127.0.0.1, 2018-10-26 19:07:05, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.006909
127.0.0.1, 2018-10-26 19:07:05, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.006133
127.0.0.1, 2018-10-26 19:07:07, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.049221
127.0.0.1, 2018-10-26 19:07:07, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.050761
127.0.0.1, 2018-10-26 19:07:07, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.043515
127.0.0.1, 2018-10-26 19:07:07, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.043371
127.0.0.1, 2018-10-26 19:07:07, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.046583
127.0.0.1, 2018-10-26 19:07:07, GET, /handyhouse/default/lib/moment.min.js, HTTP/1.1, 404, 0.047895
127.0.0.1, 2018-10-26 19:07:10, GET, /handyhouse/default/test, HTTP/1.1, 200, 0.014127
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/fullcalendar/fullcalendar.css, HTTP/1.1, 404, 0.030687
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/lib/jquery.min.js, HTTP/1.1, 404, 0.031100
127.0.0.1, 2018-10-26 19:07:11, GET, /handyhouse/default/fullcalendar/fullcalendar.js, HTTP/1.1, 404, 0.032934
